batch_index,image_index_in_batch,tp,fp,fn,matched_iou_sum,matched_count,prediction_count,ground_truth_count
0,0,4,6,0,2.838254928588867,4,10,4
1,0,4,3,0,2.7711963653564453,4,7,4
2,0,4,0,0,3.5310733318328857,4,4,4
3,0,6,10,0,4.184475958347321,6,16,6
4,0,4,2,2,2.9970515966415405,4,6,6
5,0,8,3,2,5.42168527841568,8,11,10
6,0,4,4,3,3.5825089812278748,4,8,7
7,0,4,2,2,3.027352452278137,4,6,6
8,0,13,10,5,8.982975661754608,13,23,18
9,0,6,5,2,4.094435930252075,6,11,8
10,0,8,8,3,5.74682754278183,8,16,11
11,0,7,2,1,5.091573655605316,7,9,8
12,0,6,1,4,4.170445024967194,6,7,10
13,0,12,2,0,8.834697484970093,12,14,12
14,0,10,8,3,6.538939476013184,10,18,13
15,0,5,2,1,3.583542048931122,5,7,6
16,0,11,6,0,7.168306350708008,11,17,11
17,0,6,1,4,4.6659533977508545,6,7,10
18,0,6,1,6,4.1534242033958435,6,7,12
19,0,11,9,1,7.919557869434357,11,20,12
20,0,5,0,0,4.265569865703583,5,5,5
21,0,4,5,0,2.4889819622039795,4,9,4
22,0,2,4,0,1.4091596603393555,2,6,2
23,0,7,5,0,4.3481985330581665,7,12,7
24,0,6,10,3,4.09670090675354,6,16,9
25,0,12,3,0,8.214730739593506,12,15,12
26,0,6,4,5,3.7647078037261963,6,10,11
27,0,7,7,2,4.821159899234772,7,14,9
28,0,5,1,0,4.277988076210022,5,6,5
29,0,5,2,0,4.367995023727417,5,7,5
30,0,4,3,0,3.4686672687530518,4,7,4
31,0,3,6,1,2.0729422569274902,3,9,4
32,0,5,0,0,4.130148231983185,5,5,5
33,0,6,2,1,4.488979756832123,6,8,7
34,0,6,0,4,4.2206990122795105,6,6,10
35,0,13,4,1,8.922351121902466,13,17,14
36,0,5,2,0,4.371555268764496,5,7,5
37,0,7,3,4,5.244355797767639,7,10,11
38,0,6,2,1,4.231368243694305,6,8,7
39,0,8,8,4,5.762544572353363,8,16,12
40,0,3,5,3,1.8876013159751892,3,8,6
41,0,1,3,1,0.7982303500175476,1,4,2
42,0,11,8,4,7.157323241233826,11,19,15
43,0,8,4,5,6.245197117328644,8,12,13
44,0,11,5,0,7.428592145442963,11,16,11
45,0,18,5,10,13.469223737716675,18,23,28
46,0,7,7,2,4.775444507598877,7,14,9
47,0,11,2,4,8.230260789394379,11,13,15
48,0,5,6,3,3.070574998855591,5,11,8
49,0,10,1,1,7.529517352581024,10,11,11
50,0,2,2,1,1.7680035829544067,2,4,3
51,0,9,3,3,6.542551815509796,9,12,12
52,0,4,0,1,3.316859483718872,4,4,5
53,0,4,3,0,2.9407498836517334,4,7,4
54,0,4,1,0,3.469488739967346,4,5,4
55,0,10,7,0,7.0855764746665955,10,17,10
56,0,9,5,5,6.636517524719238,9,14,14
57,0,5,5,7,3.136248528957367,5,10,12
58,0,4,1,1,3.2390642762184143,4,5,5
59,0,4,4,2,2.547524571418762,4,8,6
60,0,3,4,0,2.398670256137848,3,7,3
61,0,4,0,0,3.283694803714752,4,4,4
62,0,4,5,3,2.5987386107444763,4,9,7
63,0,8,10,7,5.445524156093597,8,18,15
64,0,7,7,3,4.547060608863831,7,14,10
65,0,4,0,0,3.258511245250702,4,4,4
66,0,3,4,1,1.7488619089126587,3,7,4
67,0,5,0,0,4.454722285270691,5,5,5
68,0,6,4,1,4.515597701072693,6,10,7
69,0,7,3,0,5.235687494277954,7,10,7
70,0,4,0,0,3.510279595851898,4,4,4
71,0,5,6,3,3.462816536426544,5,11,8
72,0,12,6,4,9.185227990150452,12,18,16
73,0,6,5,4,3.8378557562828064,6,11,10
74,0,6,11,2,3.7060890197753906,6,17,8
75,0,13,7,8,9.886343240737915,13,20,21
76,0,9,6,4,5.88630086183548,9,15,13
77,0,5,5,3,3.093659996986389,5,10,8
