batch_index,image_index_in_batch,tp,fp,fn,matched_iou_sum,matched_count,prediction_count,ground_truth_count
0,0,4,1,0,2.9526262283325195,4,5,4
1,0,3,0,1,1.7911969423294067,3,3,4
2,0,4,0,0,3.4738993048667908,4,4,4
3,0,4,4,2,2.8393380641937256,4,8,6
4,0,5,0,1,3.3461764454841614,5,5,6
5,0,6,1,4,3.870991885662079,6,7,10
6,0,6,0,1,4.439631164073944,6,6,7
7,0,4,1,2,2.7222150564193726,4,5,6
8,0,3,2,15,1.8728605508804321,3,5,18
9,0,5,0,3,3.5649333000183105,5,5,8
10,0,6,6,5,4.097572863101959,6,12,11
11,0,5,0,3,3.453465521335602,5,5,8
12,0,4,1,6,3.1818639039993286,4,5,10
13,0,10,3,2,7.693736732006073,10,13,12
14,0,9,1,4,6.020054876804352,9,10,13
15,0,5,0,1,3.5162572264671326,5,5,6
16,0,8,1,3,5.275609374046326,8,9,11
17,0,4,1,6,3.231958329677582,4,5,10
18,0,4,0,8,2.953402280807495,4,4,12
19,0,10,2,2,6.836640775203705,10,12,12
20,0,5,0,0,4.134887456893921,5,5,5
21,0,3,1,1,2.156409502029419,3,4,4
22,0,2,0,0,1.559175431728363,2,2,2
23,0,4,3,3,2.6531179547309875,4,7,7
24,0,6,2,3,3.971034526824951,6,8,9
25,0,8,0,4,5.905156433582306,8,8,12
26,0,3,0,8,1.759044587612152,3,3,11
27,0,6,2,3,3.8731619715690613,6,8,9
28,0,5,0,0,3.9384607076644897,5,5,5
29,0,5,0,0,4.0131643414497375,5,5,5
30,0,4,0,0,3.4234869480133057,4,4,4
31,0,2,2,2,1.46524316072464,2,4,4
32,0,5,0,0,3.9861209988594055,5,5,5
33,0,3,1,4,2.432469367980957,3,4,7
34,0,4,0,6,3.0051692724227905,4,4,10
35,0,7,0,7,4.580096900463104,7,7,14
36,0,5,0,0,4.136536359786987,5,5,5
37,0,6,2,5,4.638773202896118,6,8,11
38,0,5,0,2,3.501182436943054,5,5,7
39,0,7,2,5,4.903845250606537,7,9,12
40,0,2,4,4,1.2707379460334778,2,6,6
41,0,2,0,0,1.4593541026115417,2,2,2
42,0,8,2,7,5.607127547264099,8,10,15
43,0,9,0,4,6.3066747188568115,9,9,13
44,0,9,2,2,6.625683605670929,9,11,11
45,0,12,2,16,8.540985703468323,12,14,28
46,0,4,2,5,2.9411524534225464,4,6,9
47,0,8,0,7,5.953168034553528,8,8,15
48,0,4,4,4,2.461076080799103,4,8,8
49,0,5,0,6,3.853683888912201,5,5,11
50,0,2,0,1,1.6242841482162476,2,2,3
51,0,8,0,4,5.776812553405762,8,8,12
52,0,4,1,1,3.3427064418792725,4,5,5
53,0,3,1,1,2.4576229453086853,3,4,4
54,0,4,0,0,3.532539665699005,4,4,4
55,0,8,1,2,5.717476963996887,8,9,10
56,0,4,2,10,2.8056312799453735,4,6,14
57,0,3,2,9,1.911846935749054,3,5,12
58,0,4,0,1,3.0114858150482178,4,4,5
59,0,4,1,2,2.7292112708091736,4,5,6
60,0,3,0,0,2.6494719982147217,3,3,3
61,0,4,0,0,3.3342960476875305,4,4,4
62,0,3,1,4,1.8581035137176514,3,4,7
63,0,7,3,8,4.512290596961975,7,10,15
64,0,2,2,8,1.2886976599693298,2,4,10
65,0,4,0,0,3.1240309476852417,4,4,4
