batch_index,image_index_in_batch,tp,fp,fn,matched_iou_sum,matched_count,prediction_count,ground_truth_count
0,0,0,0,4,0.0,0,0,4
1,0,1,0,3,0.6629935503005981,1,1,4
2,0,3,1,1,2.382810413837433,3,4,4
3,0,1,0,5,0.7576850056648254,1,1,6
4,0,0,0,6,0.0,0,0,6
5,0,0,0,10,0.0,0,0,10
6,0,1,0,6,0.6821017861366272,1,1,7
7,0,0,0,6,0.0,0,0,6
8,0,1,1,17,0.7456789612770081,1,2,18
9,0,0,0,8,0.0,0,0,8
10,0,2,0,9,1.486809253692627,2,2,11
11,0,0,0,8,0.0,0,0,8
12,0,0,0,10,0.0,0,0,10
13,0,1,0,11,0.7789860367774963,1,1,12
14,0,0,0,13,0.0,0,0,13
15,0,1,0,5,0.7608068585395813,1,1,6
16,0,0,0,11,0.0,0,0,11
17,0,0,2,10,0.0,0,2,10
18,0,0,0,12,0.0,0,0,12
19,0,1,0,11,0.5714946985244751,1,1,12
20,0,3,0,2,2.249305248260498,3,3,5
21,0,0,0,4,0.0,0,0,4
22,0,0,0,2,0.0,0,0,2
23,0,1,0,6,0.5609157681465149,1,1,7
24,0,0,1,9,0.0,0,1,9
25,0,0,0,12,0.0,0,0,12
26,0,0,0,11,0.0,0,0,11
27,0,0,0,9,0.0,0,0,9
28,0,4,0,1,3.0014902353286743,4,4,5
29,0,3,0,2,2.6194746494293213,3,3,5
30,0,4,0,0,3.0767992734909058,4,4,4
31,0,0,0,4,0.0,0,0,4
32,0,5,0,0,4.032172679901123,5,5,5
33,0,2,1,5,1.792453646659851,2,3,7
34,0,0,0,10,0.0,0,0,10
35,0,0,0,14,0.0,0,0,14
36,0,5,0,0,3.5274659395217896,5,5,5
37,0,0,0,11,0.0,0,0,11
38,0,0,0,7,0.0,0,0,7
39,0,1,0,11,0.6569163799285889,1,1,12
40,0,0,0,6,0.0,0,0,6
41,0,1,0,1,0.690250813961029,1,1,2
42,0,3,0,12,2.3775389194488525,3,3,15
43,0,1,0,12,0.674774706363678,1,1,13
44,0,1,0,10,0.6999050378799438,1,1,11
45,0,0,0,28,0.0,0,0,28
46,0,0,0,9,0.0,0,0,9
47,0,0,1,15,0.0,0,1,15
48,0,1,0,7,0.7548644542694092,1,1,8
49,0,0,0,11,0.0,0,0,11
50,0,2,0,1,1.6991568803787231,2,2,3
51,0,3,0,9,2.2236315608024597,3,3,12
52,0,4,0,1,3.342844247817993,4,4,5
53,0,0,0,4,0.0,0,0,4
54,0,2,2,2,1.6519196033477783,2,4,4
55,0,0,0,10,0.0,0,0,10
56,0,1,0,13,0.5625872015953064,1,1,14
57,0,0,0,12,0.0,0,0,12
58,0,4,0,1,2.881085455417633,4,4,5
59,0,0,0,6,0.0,0,0,6
60,0,3,1,0,2.5260143280029297,3,4,3
61,0,3,0,1,2.0752106308937073,3,3,4
62,0,0,0,7,0.0,0,0,7
63,0,0,2,15,0.0,0,2,15
64,0,0,1,10,0.0,0,1,10
65,0,4,0,0,3.200634717941284,4,4,4
66,0,0,1,4,0.0,0,1,4
67,0,5,0,0,3.273553788661957,5,5,5
68,0,0,0,7,0.0,0,0,7
69,0,0,0,7,0.0,0,0,7
70,0,4,0,0,2.7859188318252563,4,4,4
71,0,1,0,7,0.641646146774292,1,1,8
72,0,0,1,16,0.0,0,1,16
73,0,0,0,10,0.0,0,0,10
74,0,0,0,8,0.0,0,0,8
75,0,0,0,21,0.0,0,0,21
76,0,0,0,13,0.0,0,0,13
77,0,1,1,7,0.8170833587646484,1,2,8
78,0,0,0,9,0.0,0,0,9
79,0,1,3,0,0.5362215042114258,1,4,1
80,0,0,2,11,0.0,0,2,11
81,0,4,1,0,2.809984266757965,4,5,4
82,0,0,0,7,0.0,0,0,7
83,0,2,2,1,1.6413949131965637,2,4,3
84,0,3,0,6,2.0522267818450928,3,3,9
85,0,0,1,15,0.0,0,1,15
86,0,1,1,7,0.8110535740852356,1,2,8
87,0,0,0,8,0.0,0,0,8
88,0,1,2,1,0.9723364114761353,1,3,2
89,0,0,0,8,0.0,0,0,8
90,0,4,0,0,2.828114926815033,4,4,4
91,0,3,1,0,2.557106912136078,3,4,3
92,0,3,0,0,2.2071874141693115,3,3,3
93,0,0,0,12,0.0,0,0,12
94,0,2,1,3,1.3125447034835815,2,3,5
95,0,4,0,1,3.1024240255355835,4,4,5
96,0,0,0,13,0.0,0,0,13
97,0,0,0,7,0.0,0,0,7
98,0,0,0,6,0.0,0,0,6
99,0,0,1,11,0.0,0,1,11
100,0,3,0,2,2.171570599079132,3,3,5
101,0,0,1,8,0.0,0,1,8
102,0,0,0,9,0.0,0,0,9
