model_name,model_display_name,score_threshold,precision,recall,f1_score,mean_matched_iou,count_mae,true_positives,false_positives,false_negatives,prediction_count,ground_truth_count
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.1,0.3911583659763875,0.821869488535672,0.5300473929277657,0.7161961603739395,9.269607843137255,1398,2176,303,3574,1701
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.2,0.5074906367039298,0.7965902410342172,0.6199954239123011,0.7185758533947558,5.142156862745098,1355,1315,346,2670,1701
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.3,0.6022201665122099,0.7654320987649821,0.6740874962709447,0.7208891645091243,3.161764705882353,1302,860,399,2162,1701
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.4,0.6778378378374714,0.7372134038796372,0.7062799206494547,0.7218005506515071,2.299019607843137,1254,596,447,1850,1701
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.5,0.7299270072988261,0.7054673721336241,0.7174887887373844,0.7241366498662954,2.269607843137255,1200,444,501,1644,1701
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.6,0.775908479138105,0.6778365667250571,0.7235644802046767,0.726253746285185,2.1911764705882355,1153,333,548,1486,1701
fasterrcnn_resnet50_fpn,Faster R-CNN ResNet50-FPN,0.7,0.8099480326645806,0.6413874191648199,0.7158792645981382,0.7290249978254614,2.4705882352941178,1091,256,610,1347,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.1,0.4176904176902894,0.7995296884181072,0.5487189828049833,0.7080675386763724,7.720588235294118,1360,1896,341,3256,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.2,0.7309833024114217,0.6948853615516197,0.7124773955215908,0.7156469748804812,2.127450980392157,1182,435,519,1617,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.3,0.8246753246746553,0.5972957084064684,0.692806000194208,0.7255521186686306,2.6323529411764706,1016,216,685,1232,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.4,0.8799559471355948,0.469723691945638,0.6124952084380184,0.7380327046728864,3.9362745098039214,799,109,902,908,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.5,0.9267515923552122,0.3421516754848077,0.49978531519178737,0.7530004383144681,5.269607843137255,582,46,1119,628,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.6,0.9399477806763971,0.21164021164008723,0.3454894430777761,0.7692978103934217,6.46078431372549,360,23,1341,383,1701
retinanet_resnet50_fpn,RetinaNet ResNet50-FPN,0.7,0.9599999999945144,0.09876543209870738,0.1791044774425858,0.7851783494817455,7.480392156862745,168,7,1533,175,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.1,0.02455526660989979,0.6272780717221474,0.0472604862631453,0.6426142500506692,204.66666666666666,1067,42386,634,43453,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.2,0.4799131378930728,0.2598471487358849,0.33714721540974224,0.6817458800585241,4.754901960784314,442,479,1259,921,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.3,0.7384615384586982,0.11287477954137985,0.19581845973919063,0.745344032219144,7.25,192,68,1509,260,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.4,0.8486486486440614,0.09229864785414915,0.16648992559170772,0.7553521660434697,7.480392156862745,157,28,1544,185,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.5,0.9103448275799287,0.07760141093469865,0.14301191751489328,0.7680327427148433,7.627450980392157,132,13,1569,145,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.6,0.9652173912959546,0.06525573192236023,0.12224669591647602,0.7759650107906646,7.7745098039215685,111,4,1590,115,1701
ssdlite320_mobilenet_v3_large,SSD/SSDLite MobileNetV3,0.7,0.970873786398341,0.058788947677802,0.11086474490329262,0.780950032464801,7.833333333333333,100,3,1601,103,1701
